Interpacket Timing,Device
0.011005,ihealth_bpm
0.01923,ihealth_bpm
0.027505,ihealth_bpm
0.030253,ihealth_bpm
0.022009,ihealth_bpm
0.024769,ihealth_bpm
0.033002,ihealth_bpm
0.005498,ihealth_bpm
0.022006,ihealth_bpm
0.01925,ihealth_bpm
0.005501,ihealth_bpm
0.022009,ihealth_bpm
0.021997,ihealth_bpm
0.027507,ihealth_bpm
0.022003,ihealth_bpm
0.022004,ihealth_bpm
0.03029,ihealth_bpm
0.019215,ihealth_bpm
0.022003,ihealth_bpm
0.024752,ihealth_bpm
0.024339,ihealth_bpm
0.007601,ihealth_bpm
0.020859,ihealth_bpm
0.005464,ihealth_bpm
0.021999,ihealth_bpm
0.043988,ihealth_bpm
0.022009,ihealth_bpm
0.027498,ihealth_bpm
0.01927,ihealth_bpm
0.024755,ihealth_bpm
0.0055,ihealth_bpm
0.019254,ihealth_bpm
0.024754,ihealth_bpm
0.044005,ihealth_bpm
0.013751,ihealth_bpm
0.019251,ihealth_bpm
0.027504,ihealth_bpm
0.05501,ihealth_bpm
0.027505,ihealth_bpm
0.027501,ihealth_bpm
0.022009,ihealth_bpm
0.024829,ihealth_bpm
